Node	X-Coord	Y-Coord
623	-40938.31	-26769.08
1357	-83010.00	-42280.00
704	-37340.00	-17440.00
1038	-18693.18	-15887.26
1436	-78795.82	-46856.12
641	-40350.00	-37900.00
1406	-80670.00	-27620.00
1772	-86726.47	-39064.61
1956	-36097.33	6080.21
1663	-71282.57	2814.78
336	-53610.00	-9810.00
501	-44840.00	-15930.00
747	-1780.00	-1650.00
617	-41560.00	-37900.00
1514	-73123.59	-12105.38
671	-38241.93	-47569.72
208	-15515.31	-15790.97
1765	-89826.09	-21697.14
1181	-2132.88	13110.71
187	4406.42	-33360.11
1615	-70310.00	-19280.00
136	-62000.00	-10090.00
1487	-75174.77	6872.94
868	-23442.64	17338.52
406	-49720.92	-5504.38
435	-48257.06	-47954.92
1788	-87004.74	-36977.60
925	-24160.00	3000.00
1094	1144.46	-7412.93
1141	-9740.66	9832.98
1236	2736.81	-2054.92
972	-19777.14	-6574.48
1412	-79352.36	-34890.58
211	-15707.91	-12131.59
682	-35545.55	-21954.12
1990	-101335.56	-35725.39
1845	-97578.93	-11655.17
1261	-87700.41	-23898.98
78	-65013.13	3083.69
295	-55768.40	-33317.43
660	-38819.73	-19546.64
1495	-76070.00	-21500.00
1812	-96048.46	-9985.56
1818	-92820.81	-1920.23
1632	-69741.58	-25665.20
1926	-44707.94	24241.45
578	-42093.90	-18583.64
1260	-87143.87	-21533.70
433	-48370.00	-16500.00
1878	-96590.00	-44140.00
310	-58079.58	-55466.26
548	-42671.70	-40539.88
666	-39020.00	-17450.00
1300	-85195.99	19510.88
308	-51195.69	2851.08
1627	-69680.00	-22340.00
857	-23093.54	20829.47
436	-48180.00	-17560.00
377	-51960.00	-44020.00
1464	-77450.00	-30080.00
334	-53710.00	-42950.00
47	-65860.00	-22190.00
1467	-77350.00	-26330.00
285	-57405.49	-34858.22
1948	-40264.22	-34954.52
445	-48257.06	-43043.66
1957	-35730.00	-6340.00
93	-64531.63	-32547.04
1367	-79213.22	-3446.26
2037	-95679.36	5006.26
1834	-99109.41	-36142.79
1814	-92430.97	-33081.84
1339	-84230.00	-2880.00
1165	-8960.00	-11600.00
1058	-17344.99	-22339.32
477	-44986.21	21597.90
1140	-7618.77	-39865.78
1979	-105231.31	-2472.32
1902	-57070.00	-44420.00
128	-62290.00	-15830.00
371	-52120.00	-9810.00
1408	-80743.70	-54369.37
1426	-79670.00	-27500.00
843	-26686.02	-44969.64
631	-30162.72	20742.20
275	-56140.00	-43720.00
1211	-4922.39	-12805.69
2013	-98413.74	-28212.14
1046	-16635.29	-3170.80
68	-64369.43	-15470.33
381	-51440.00	-16600.00
1263	-88422.01	-1368.43
1109	-13040.00	-8870.00
911	-24278.54	-18102.15
252	-56870.00	-23740.00
1695	-95352.79	-14576.99
1151	-4915.57	13388.98
1003	-17633.89	-38324.99
1560	-73526.50	-18888.97
490	-47871.86	-50940.20
1402	-80743.70	-38368.94
819	-26933.59	15331.23
1770	-88299.91	-11929.59
1617	-70300.00	-19790.00
1634	-69497.39	-19499.44
1739	-90790.00	-47510.00
1394	-79908.89	-12350.85
367	-52180.00	-19000.00
901	-25241.53	-8087.02
1605	-70740.00	-26270.00
169	-60740.00	-27000.00
1829	-98413.74	-34751.45
1087	-13959.29	-54230.23
1489	-76456.76	-16386.03
829	-28710.00	2900.00
625	-38916.03	-39769.48
1337	-84300.00	-35480.00
1973	-31420.00	-48730.00
719	-33234.37	-20509.63
500	-8950.00	-8550.00
1572	-72260.00	-28350.00
1413	-80290.00	-25620.00
708	-36970.00	-11180.00
1547	-71694.19	-9389.52
662	-39360.00	-12040.00
746	-33715.87	-18487.34
951	-21333.40	13528.11
811	-32175.08	-12227.89
12	-67050.00	-26380.00
1200	-2707.51	-51421.69
1764	-92848.37	-20420.63
1125	-12220.00	-5790.00
1927	-44960.00	4790.00
1077	-14263.42	-14346.48
1279	-85335.13	-42682.10
1277	-86407.45	-7167.91
1351	-82691.58	-54091.10
1430	-80424.83	-20598.29
278	-53930.36	3088.01
1164	-2550.29	-38647.21
62	-67386.82	5736.60
122	-62415.92	-22979.13
1291	-85430.70	-20048.86
258	-56630.00	-11190.00
1342	-83904.52	-17179.65
1692	-91996.23	-106.15
2021	-101057.29	-34334.05
2020	-93865.28	5281.12
219	-58700.00	-13000.00
38	-66050.00	-20190.00
1969	-33138.07	-14731.67
767	710.00	-900.00
1307	-86587.33	17702.14
299	-55220.00	-3430.00
1143	-10750.00	-6290.00
1455	-78030.00	-50890.00
1887	-96558.91	3467.04
732	-35990.00	-13480.00
1924	-46500.00	-35060.00
759	3937.14	-8472.22
178	-62509.35	-36687.90
129	-62190.00	-11960.00
1005	-19559.88	-18679.94
1755	-92152.70	-14716.13
645	6910.84	-27933.87
1374	-79908.89	-5811.54
982	-19463.58	-47280.82
184	-60160.00	-33760.00
1029	-18789.48	-21183.72
1842	-100083.35	-12489.98
1828	-100500.75	-10542.10
1618	-70290.00	-27200.00
196	-60101.86	-28406.17
1222	1484.61	-31551.36
327	-54000.00	-12000.00
376	-52590.52	-49303.11
1751	-89577.46	-1535.42
640	-40410.00	11620.00
216	-57471.10	-18827.92
1473	-79448.08	13710.22
802	-29028.16	12625.74
1069	-15770.00	-10760.00
1740	-92145.89	-9731.89
595	-42020.00	12940.00
1708	-92570.00	-23190.00
613	-30655.39	25771.92
785	-31384.55	3374.73
1194	-6900.00	-9820.00
155	2492.65	-11842.70
1699	-104674.78	-25012.06
670	-35834.45	16084.09
36	-66130.00	-27390.00
1443	-78239.28	-31690.50
1100	-14627.99	8611.15
1068	-11759.64	-48725.31
1525	-74200.00	-21150.00
845	-25723.03	-38036.09
1496	-75980.00	-11120.00
1364	-82744.62	-11074.93
669	-36604.85	-38421.29
188	-60872.26	-32450.74
915	-24228.10	-5003.55
1072	-15360.00	-8100.00
425	-49577.64	-38229.80
622	-40553.11	1928.10
457	5102.09	-36421.06
634	-40167.92	-45065.94
1425	-79670.00	-28720.00
627	-39301.22	-32354.44
150	-61360.00	-15830.00
431	-47919.14	-5219.88
70	-65120.00	-26580.00
35	-65995.47	-39064.61
1800	-88370.00	-9550.00
606	-41850.00	8500.00
1980	-100222.48	-37812.40
588	-29264.05	23545.77
1537	-67247.68	-52838.89
1393	-78959.70	-330.63
1483	-76152.27	-46160.45
1	-67460.00	-27940.00
1641	-69314.25	-18095.35
760	-32752.87	-11264.90
1355	-82317.29	-17545.93
644	-39782.72	-14442.78
1862	-94935.38	1284.31
683	-37375.24	-19450.34
1910	-51719.33	931.06
204	-59290.00	-27000.00
430	-48500.00	-35060.00
267	-55456.54	-20232.00
1311	-84514.99	-10525.51
1122	-11835.23	-2647.16
512	-44670.00	-34400.00
833	-29189.80	-46317.83
681	-38310.00	-13280.00
1385	-80882.83	-32386.17
117	-62900.00	-33700.00
1371	-81706.82	-26458.81
1516	-74343.53	-44769.11
698	-35942.49	-26264.26
434	-50279.34	-49592.01
449	-49605.25	-45162.24
1587	-71206.71	-16263.94
585	-34351.86	18647.63
1580	-71890.00	-21330.00
1533	-73940.00	-27360.00
51	-65790.00	-19730.00
515	-39838.25	25911.06
858	-25013.57	16378.51
385	-51270.00	-17740.00
667	-38241.93	-41599.17
1803	-88240.00	-20100.00
498	-41925.26	18815.21
1917	-52120.00	-8200.00
142	-62027.85	98.41
949	-22540.00	-600.00
1388	-81096.35	-17973.26
1593	-72256.51	-45186.51
1485	-76370.00	-53600.00
1356	-82256.25	-391.68
1885	-96668.86	-326.04
1771	-89400.00	-42620.00
1295	-85784.39	-1425.48
1898	-59160.00	-3430.00
243	-57170.00	-28770.00
99	-63183.44	-32354.44
1243	-88642.93	16385.48
1383	-82274.17	-31412.23
344	-53170.00	-44020.00
321	-56346.19	-53636.57
1225	-4504.24	1891.07
54	-65109.43	-28117.27
245	-57120.00	-43080.00
1171	-8867.93	-6399.93
1235	2041.14	-40873.35
213	-59040.00	-24990.00
472	-46090.00	10550.00
1727	-91171.65	-2689.84
1864	-94935.38	-1220.11
1962	-31308.39	-21954.12
1863	-94796.25	-2889.72
1964	-32560.28	-18102.15
1860	-96326.73	-4141.93
1650	-68703.78	-19011.06
514	-45880.29	-6120.77
366	-54323.91	-52384.68
1220	93.26	-18333.62
1508	-74695.93	-9246.58
597	-602.41	-25986.00
940	-21293.26	-16465.06
793	-31270.00	100.00
1461	-77650.00	-19660.00
483	-47101.46	1157.70
137	-62000.00	-27000.00
1353	-83108.98	-44769.11
1184	8023.91	-29742.62
1193	4962.96	-26959.93
1312	-85014.78	16220.56
140	-61950.00	-1750.00
1944	-42382.80	-45547.44
1802	-88240.00	-22330.00
1330	-81161.10	-36560.19
234	-56433.30	2904.87
56	-66139.79	-23894.83
1710	-92560.00	-24600.00
1375	-81578.50	-11794.31
1360	-82927.76	2172.30
75	-64064.19	-21758.18
1674	-68703.78	-16019.75
419	-50857.14	-47858.62
847	-27850.00	-1730.00
1698	-97996.34	-25290.32
1700	-100918.15	-26542.53
840	-28226.81	-4620.25
810	-30010.00	1700.00
877	-21055.13	22850.10
1429	-81096.35	9375.87
1758	-90375.52	-10098.18
713	-33715.87	12809.91
251	-56982.72	-14188.33
1624	-69070.06	-15104.04
1601	-70168.91	-16019.75
411	-48545.95	-52480.98
88	-64550.00	-42800.00
1480	-76520.00	-28910.00
44	-65890.00	-30970.00
194	-59640.00	-36670.00
335	-53360.92	-40925.07
1191	-7310.00	-11070.00
1214	6215.17	-19446.69
696	-4729.79	-27443.18
1006	-18118.94	-6399.93
112	-62413.05	-35243.42
1934	-44405.09	-47184.52
1304	-85930.00	-9550.00
1478	-77554.72	-11962.44
96	-64339.03	-864.58
1721	-95074.52	-15829.20
1153	-3863.10	-36880.50
180	7884.78	-21394.57
201	-58997.28	-18950.01
388	-51120.00	-35170.00
1055	-17010.00	-13210.00
1638	-69280.00	-27670.00
1199	3710.75	-49917.08
485	-45670.00	12490.00
648	-40360.52	-36495.31
896	-23508.15	-48532.71
1936	-45368.08	-46317.83
1103	-8774.36	-44295.55
1970	-32590.00	-46360.00
463	-46042.17	-23109.71
233	-57309.19	-31487.74
2014	-99160.00	-42450.00
1611	-70450.00	-24440.00
712	-36680.00	-13400.00
1940	-42190.20	3854.08
1386	-79448.08	2965.92
499	-42342.66	20902.23
1677	-67860.00	-26380.00
1004	-21678.46	-25998.69
1716	-91735.30	-15968.33
230	-58946.27	-32835.93
740	-781.52	-14153.88
1063	-15033.81	-19835.53
1428	-77697.66	-7531.31
1204	2492.65	-28406.17
28	-66490.00	-32380.00
1616	-70310.00	-21330.00
441	-47770.00	-38990.00
1975	-103422.57	-44629.98
1743	-90560.00	-8270.00
557	-43030.00	-10790.00
1365	-81951.01	-9731.89
1835	-103700.84	-7342.01
836	-25626.73	-30332.15
397	-51120.00	-33210.00
1756	-91596.16	-13463.92
491	-45656.98	-48532.71
1773	-80326.30	22293.57
1521	-74410.00	-30220.00
1750	-88674.35	-35586.25
1167	8944.70	-8279.62
1124	-6752.07	-48436.41
1989	-101561.37	-381.01
800	-28804.61	-39384.28
1831	-98552.87	-14159.59
1985	-106205.25	-4698.46
1833	-93480.48	7425.03
1123	-11374.44	-15020.57
1939	-42864.30	-30813.65
179	-60430.11	-40177.68
1417	-80080.00	-22940.00
247	-55456.54	-18827.92
177	-60968.56	-31391.45
1686	-66134.61	-49917.08
941	-20811.77	-48725.31
881	-26300.82	-17716.95
131	-60828.69	-17606.98
1886	-105509.58	-8594.22
2017	-98552.87	-51586.69
1672	-68094.70	-29658.06
206	-57402.20	-5267.30
910	-24952.63	-16079.86
772	-32870.00	-48250.00
503	-44405.09	-45258.54
109	-63210.00	-9000.00
63	-64146.43	-29754.36
908	-24182.24	-15116.87
879	-26370.00	5640.00
134	-61317.07	-18888.97
1702	-98552.87	-8733.36
1407	-79352.36	-39621.15
1653	-68600.00	-32210.00
2025	-98098.13	-106.15
181	-59058.32	5041.52
920	-25145.23	-26576.48
329	-52638.59	-5115.87
341	-52494.22	-41791.77
1466	-77350.00	-27220.00
1245	-87628.40	-9487.70
1664	-68360.00	-30970.00
459	-45960.15	-33777.51
59	-65205.73	-29080.26
1606	-70447.77	-37673.27
917	-23219.25	-15887.26
924	-22256.26	-46703.03
1482	-76847.94	-44629.98
1474	-76430.54	-37673.27
256	-56923.99	-39769.48
1822	-99944.22	-6228.94
444	-47871.86	-26094.99
1718	-92710.87	14461.45
487	-47486.66	3083.69
1021	-17855.05	-50891.01
654	-39108.63	10402.43
185	-60120.00	-5380.00
5399	-89926.55	-44769.11
1819	-91178.76	-41986.43
1794	-88600.00	-45310.00
1332	-84639.46	-44629.98
736	-30634.29	-24169.00
943	-22831.72	-5178.10
1527	-74150.00	-25420.00
1415	-79491.49	-32664.44
460	-46812.57	-48917.91
1352	-82927.76	4614.19
2034	-102726.90	-16385.74
543	-43345.79	-41695.47
1559	-73552.41	-3100.17
83	-63881.05	-26703.00
973	-20680.00	-12940.00
1916	-53014.66	-21208.76
154	-60872.26	-3272.06
1188	8858.72	310.37
1113	7500.22	-10205.61
494	-47197.76	9054.24
1392	-79509.12	4980.47
1237	4996.43	-6835.13
709	-36960.00	-46620.00
1589	-71320.00	-28650.00
224	-58320.00	-38810.00
1104	-13450.00	-11060.00
263	-56380.00	-20770.00
1691	-67500.00	-21500.00
1717	-92410.00	-8770.00
1509	-75100.00	-27570.00
735	-2496.94	2414.71
1395	-79753.31	6995.03
1643	-73230.45	1562.57
1507	-74838.87	-11390.68
1933	-43272.45	-4650.90
1518	-74550.00	-26480.00
104	-62894.54	-3560.96
1274	-85613.39	-47551.79
225	-58260.00	-31750.00
1707	-93822.31	-12211.71
523	-39559.98	18815.21
1197	-1455.62	-21376.32
1007	-19166.23	-3868.99
2039	-103283.44	-9707.30
1629	-69660.00	-28150.00
467	-46400.00	-38990.00
504	-44886.58	-27154.28
205	-59290.00	-2460.00
1275	-87978.68	-48108.33
1159	-5638.80	2589.26
574	-37194.70	22850.10
97	-64010.00	-40930.00
1334	-84500.32	-29603.48
508	-44693.98	-25131.99
1073	-16198.92	2501.99
1411	-78239.28	-38786.34
495	-45240.00	3490.00
291	-54936.60	-1805.99
590	-42479.10	-47088.22
1753	-92848.37	-18611.88
464	-48160.76	-45547.44
1336	-84245.17	12262.57
227	-58100.00	-40930.00
1488	-76340.00	-19720.00
1504	-75550.00	-22870.00
1399	-79081.79	1195.55
5	-67525.95	-5255.00
1586	-69693.03	-8388.95
1293	-85474.26	-22925.04
1340	-83665.52	-46438.72
484	-46619.97	-45836.33
600	-42864.30	-51325.39
628	-38627.13	-25902.39
42	-65920.00	-26460.00
814	-26204.53	-40250.98
1115	-9833.65	-34569.32
424	-48680.00	-38990.00
1963	-32078.78	11558.02
1662	-68380.00	-21430.00
1414	-78126.48	-6244.85
1575	-72117.38	-3724.53
1322	-84392.90	-4848.12
818	-29960.20	-48051.22
25	-66560.00	-28320.00
496	-18870.00	3220.00
1302	-85454.55	-4503.91
674	-34582.56	14254.40
1520	-73409.47	-9246.58
1421	-79960.00	-24040.00
1410	-80390.00	-29770.00
158	-60970.00	-12620.00
593	-40264.22	-24169.00
1456	-76152.27	-6785.48
1635	-69360.00	-23170.00
1639	-68886.92	-24200.07
209	-58919.49	-8776.03
1463	-77490.00	-22750.00
954	-21784.44	-11810.90
1335	-81439.37	-34612.31
1420	-79213.22	-30994.83
903	-25410.00	-960.00
375	-51960.00	-42950.00
1517	-74343.53	-46716.99
1404	-79769.76	-48804.00
217	-57776.33	-17301.74
755	-33915.49	2851.08
349	-52686.82	-29658.06
1541	-73570.00	-28800.00
212	-57639.27	-6594.93
1179	-4055.70	-16368.76
1720	-92350.00	-5410.00
1723	-91831.31	-4064.14
1315	-85509.53	443.57
869	-26770.00	-46850.00
395	-52360.32	-37395.00
160	-60930.00	-22910.00
1345	-83477.19	-18217.45
1579	-71990.00	-19210.00
551	-2514.91	-48147.52
1607	-70640.00	-23270.00
1470	-76840.03	-8246.01
309	-54780.00	-10030.00
513	-47871.86	7320.86
475	-46060.00	-37900.00
1900	-57349.00	4675.24
244	-57160.00	-26970.00
944	-21293.26	-44777.04
1633	-69400.00	-26650.00
629	-40850.00	-33530.00
148	-61404.05	-45325.65
1923	-46890.00	-36350.00
1571	-72320.00	-31810.00
1144	-10026.25	-18487.34
345	-54131.31	-33991.53
1018	-17944.39	-3694.45
1086	-14480.00	-5680.00
426	-48510.00	-34170.00
509	-45753.27	7417.16
701	-32752.87	-24072.70
1195	-4155.14	6952.95
2003	-100050.00	-42680.00
1139	-11278.14	-18776.24
241	-57310.00	-16070.00
1696	-92152.70	-40038.55
1608	-70630.00	-30060.00
1013	-14263.42	-43043.66
167	5380.36	-22646.77
290	-55590.00	-42350.00
521	-3385.09	-41012.49
382	-51440.00	-41800.00
1247	-87994.68	-3382.99
373	-52120.00	-6980.00
934	-23180.82	-10938.17
1169	-2967.69	-30577.42
1158	-10020.00	-13750.00
52	-65780.00	-42160.00
1954	-34133.75	-26959.93
103	-63761.24	-94.19
200	-58325.76	-21880.28
106	-61439.16	-24505.31
1621	-69828.09	-29465.46
1290	-86309.07	-23898.98
679	-36412.25	-40828.77
806	-30130.00	-1940.00
603	-41910.00	-12310.00
1578	-71990.00	-31090.00
1500	-75880.00	-32310.00
1445	-79325.98	-15714.51
1726	-92020.00	-7710.00
17	-67247.68	866.90
1442	-77404.48	-7063.75
598	-463.27	-32247.03
1889	-61161.16	-36013.81
1053	-16574.60	-17813.25
1350	-84222.05	-22646.77
1344	-83248.11	-28768.68
1346	-83049.86	-27557.66
931	-23700.74	-7798.13
401	-50700.00	-23380.00
1492	-75541.06	-20476.19
399	-50990.00	-18970.00
3	-67299.69	-22734.94
950	-22490.00	-13100.00
1912	-54035.01	-54214.37
58	-65590.37	-15104.04
568	-41612.41	-35821.21
552	-42575.40	-39673.18
1596	-69009.01	-14249.38
1008	-18031.67	-9541.79
152	-61378.12	8032.83
1363	-82570.00	-13810.00
1309	-85780.00	-33990.00
1232	-3574.20	-10590.81
237	-57501.78	-30139.56
392	-51120.00	-34060.00
978	-20380.00	-14130.00
1511	-75050.00	-19480.00
379	-51810.00	-42670.00
1213	8110.00	3110.00
1462	-73508.72	-49499.67
716	-31629.33	-28768.68
883	-25337.83	-20605.93
300	-55180.00	-28180.00
1397	-81030.00	-23970.00
1320	-84576.04	-8388.85
1588	-70865.17	-5394.14
1296	-85369.65	-11197.02
446	-47510.00	-22630.00
2043	-102726.90	-12768.25
254	-56453.89	-8444.12
218	-57971.18	-9724.34
1763	-90436.56	-23284.36
561	-35246.82	21041.36
1281	-86620.00	-50810.00
2042	-103561.70	-18611.88
287	-54512.09	669.24
1911	-54998.00	-40539.88
1319	-86169.93	-54091.10
1510	-75050.00	-24320.00
895	-25820.00	-2890.00
1544	-72813.05	-35725.39
932	-23219.25	-14250.18
111	-63140.00	-31230.00
711	-34678.86	-25228.29
162	-60958.34	-7353.57
1303	-85796.98	-3138.80
519	-42479.10	-26094.99
1048	-16897.11	-7185.40
417	-51820.13	-30621.05
1986	-101700.00	-42320.00
221	-58255.67	-5836.28
1064	-17730.19	-54695.87
248	-54601.88	-16813.36
1323	-84331.85	-9243.51
725	-36300.00	2280.00
423	-50375.64	-44584.44
2024	-104535.64	-16524.87
965	-21370.00	2550.00
82	-63472.34	-28791.37
824	-26974.92	-42176.96
1321	-84270.80	-6313.25
1577	-71878.23	-19987.82
175	-60247.11	-6879.42
164	-61242.83	-5694.04
647	-37144.62	10705.72
939	-22641.45	-20220.73
356	-52790.00	-34980.00
296	-7646.09	11927.55
149	-62509.35	7031.96
1271	-88697.91	2312.62
1257	-90072.21	-820.78
1915	-51525.52	15893.39
1928	-40812.19	22432.70
249	-57050.00	-26050.00
1112	-13300.42	-28117.27
105	-62782.20	-17057.55
702	-35352.95	-19835.53
538	93.26	14919.46
1196	-7820.64	-1163.51
273	-56200.00	-2120.00
906	-23508.15	-43428.85
270	-54113.50	4736.29
1748	-91006.73	16880.22
107	-62782.20	-18217.45
215	-58940.00	-24050.00
286	-55837.49	-3702.60
1209	3455.65	-17331.75
558	-43020.00	-12830.00
1390	-82135.04	-15133.53
554	-44790.28	8380.15
492	-45849.57	-51614.29
1859	-96465.86	-22785.91
927	-19385.52	19093.48
1433	-76517.81	4797.33
871	-26710.00	-11730.00
1905	-56210.00	-30300.00
873	-24856.34	-41213.97
257	-57117.71	-8823.45
363	-51108.12	-2054.92
1907	-55590.00	-4350.00
1892	-60721.27	-10198.49
1847	-107457.46	-19168.42
1343	-84020.00	-14040.00
1157	-10020.00	-11950.00
751	-10892.94	-28598.77
1687	-67421.79	-14615.67
1154	-8485.46	-23494.91
1694	-95770.19	-17498.81
1535	-73860.00	-34050.00
724	-36320.00	-1410.00
408	-50020.00	-39510.00
159	-60104.87	-11146.79
1249	-87268.63	8579.44
462	-46427.37	-26287.58
718	-34775.16	-18872.54
1173	-6463.18	-22050.42
992	-19510.00	-13510.00
429	-48881.97	-36281.92
1558	-72534.78	-6646.34
1583	-71650.00	-33510.00
1832	-98274.61	-18333.62
602	-41910.00	-10240.00
387	-51120.00	-36370.00
781	-32450.00	-870.00
1523	-72256.51	-39621.15
1786	-88849.34	-10586.55
862	-29478.70	-13190.89
240	-57340.00	530.00
